year,role,name,source_url,local_target
"2026","organizer","Jun Yamamoto","https://lh3.googleusercontent.com/sitesv/AA5AbUCnr7GaUaQvFQsy9nrH7bNYA2UOYsDquUMQDrYb1F9RMzmAg5rslU4AyeRce7Hka-52ecuowJYgtuDZq257sLQrl8EW1IkSDfOY6NUTM9128ah00NXr2uquDF_VS98cGXXRpSsjkSRIYTBEaqKuyQCsHnz113Vy4FUYnAKZlUAfX89kvT6QUVnb3df1jN748xDgTY1D1Haxoe_hQShE7K7TiieHEi_lagUQ%3Dw1280","assets/img/2026/jun-yamamoto.jpg"
"2025","speaker","Marc Barthelemy","https://lh3.googleusercontent.com/sitesv/AA5AbUAZ2rji8lYzR-Ma65KBA6b95mx8SFXM-srIuOmlWzulnkrNrDwXiseFW5_qUMp2yED2xSfb6AGARTgSOS2gLHfHmELkhSqXHkYZhFQGbWXEBSCBmcvM8aPGHluJeWAFnueN6REHv9gp8cFp6exS0Z4DbsTk2c-2ot0Di_wsEW2dqK8eJr7k_NCpPrM3PkFCLB4nSjGiwJgaTK3uU7YVj2gHNOtkkHcNd8RlV2A%3Dw1280","assets/img/2025/marc-barthelemy.jpg"
"2025","speaker","Gang Yan","https://lh3.googleusercontent.com/sitesv/AA5AbUCyQIw1CctJiSgZUXwObHOnG389G6lIYxI7k1oEFhs9GD7QG6dXkARtyPuSe6Kg2tTohkGAwP5l5-Rwe-YGpxlH-OxKQyTJlG28KcVbyW3DHDYMavfaBtFAUk07_RILtGRfdt9nJCVu57jPLPttIqVv2rs13QDCXANcXkcxe_96Dv28KqshDQqmiP7YgHoGME7tICpbRJI7ibdqKwU6BlomZG3MMbHmajeb%3Dw1280","assets/img/2025/gang-yan.jpg"
"2025","speaker","Maxime Lucas","https://lh3.googleusercontent.com/sitesv/AA5AbUCh2rB4V4oIH-dP6S_cafxlsfoRTDZkBvGsASgmWbSic-8ahwe2Vf4n8_68Ufr4J5mn3jlcCcJo1V17jOSeDlG0rhGWjnCN87bOlU5gskv_7pyix4JyJFVRRnBpP6pzF4yXNpce_o1AObcTM-mYSliHJaucVWzWlEXgpySPcOMOQEJpKXHnzmDLjeguBDwYXOeVkgEYXsDt1pBOB__HiHMxJPEPxV4eAovSapo%3Dw1280","assets/img/2025/maxime-lucas.jpg"
"2025","speaker","Iva Bačić","https://lh3.googleusercontent.com/sitesv/AA5AbUCJX8q2RZxkaA_WL4jQJzVUExEByoa02It4x3pph6KGXoT_isOUcwhBvb2X827omtegpii2h8mZRqOOWmGJ8NaO3MJ4DrGp2XHfNsbzTPZgXg65zloFtcimx1_EAmn-qssJx4Y7gZkqYK4bBLKc14JJt-5I_HLFmv9OueAH9y6EAE-O7YqCtxdJ%3Dw1280","assets/img/2025/iva-ba-i.jpg"
"2025","speaker","Ivan Kryven","https://lh3.googleusercontent.com/sitesv/AA5AbUB6yPr0IKdRzIfkyTk-iMVsfymwKgFlwZTZMXtK1tv55jhj6NcnzdRZkKB5IK-QlJscFP_nv30ecWZ1nEw9pNN_rX2N8PL6kTSqPgsQyI443FYRd3PRuMsh5bHv_u9g131An9N_LwcbdrvKDg-G_3KijT-GqcigK0YPyHqKx5YTwVwBHTsAWmwBPZylQ8j6lyvFozcshOJWpEQMQsAJ94YLSqihpw-mJF1K%3Dw1280","assets/img/2025/ivan-kryven.jpg"
"2024","speaker","Adilson E. Motter","https://lh3.googleusercontent.com/sitesv/AA5AbUBaZoswjLCsR1QAppVqAw5xGz8deSHa4isumpABl6wHvfSjJfVmLvFJeAepWEQa-lK9iXzwrotxoX65XbLlx-ZGVsKmCM7fazhpUhg2C9iG-1vdTgrsCIjvTbiqSJwWEn17JaCaE-AXWYBdb_nY3QvhWiMPX33VtwiVlAtr5_UcEJNPxZMKynGCOROO6g35cJnOlOi1S4IjKsRjMI6IS9_ld_Ot0T5pg8024lM%3Dw1280","assets/img/2024/adilson-e-motter.jpg"
"2024","speaker","Filippo Radicchi","https://lh3.googleusercontent.com/sitesv/AA5AbUAb4C86CdiPpMbljOwp0GDfIsbQAG697TFd7pF5Bj2t3Zhk5ywvCacBBdLIFlMzSohoN_kG-3MC-xv2hV6rcAwdIovyCDU9jHwfiAcXnGL1WjR9Tm1NTS0fECa9QjE_m9vvjp-DDIPG-RUpcE_gfL7hO_-3ULKntrmtlZAbvdguRIM1MQE-0Oi8FVAHMbZytTbUKA_10YqlFhP5uw8ehS2e75XZK1Dwy2X3%3Dw1280","assets/img/2024/filippo-radicchi.jpg"
"2024","speaker","Fabrizio De Vico Fallani","https://lh3.googleusercontent.com/sitesv/AA5AbUAeQMsjiC61dGN3FIIOnf1Jqw0P5wlU75nQ1JSsE11i6JjqJKiAkS_wLgrKgvJ5G773f4gHSJc1EsHQERcXyGUrtqmeSHedxOJTypQuZmuI1lgwm5-e_4QgmIQ4gpYQriRBkM5N8AAIVmtI94iU0aZ1AkH43NkMnZZT5wAgkGppILPGWzCJce76BI3UmKdDNCr7_0-IVFXZVq6DDU4UN9V5J17QqyVd9xgsMGg%3Dw1280","assets/img/2024/fabrizio-de-vico-fallani.jpg"
"2024","speaker","Dániel Barabási","https://lh3.googleusercontent.com/sitesv/AA5AbUCUmIIVy7065VSLf1-rMakbiI2AiPcVL2KB5DITx4CbpibOJu4-ATCLhUOKhps3dsxRLAoTGhj-5529kWvHUBeUkSA2Q0lTcakai2GhKBzrmj0KmxRaApBn8O21mYYwkkapdLEDjJAgzlO7dAHWdPchoazQFxa5NyBcYaIGaxHMi8qNFEBKNGPtZoMFBZmSF05GVSVJZM1O2p9ZVYzX1IWVpDu6obp647VXo2o%3Dw1280","assets/img/2024/d-niel-barab-si.jpg"
"2024","speaker","Jasper Van der Kolk","https://lh3.googleusercontent.com/sitesv/AA5AbUC6EwiRmxjXWxq7bBO7NdgAY6DCqA7J2eiZQrQzQ8u6EhN0dTOids2-Q1UBi_OQYxDGcYcIzvHxQfeuMNa8ZtB2lH8RxQquNf1nIz9CwllsKhHrWobJgv_AV-Z6fp3zNOdoy16NG1wTqy0Qz04qhHgh0fJMmA2dFapFAZok8GuTGvNpe7a9Esy5kitxVLtPutf5jAgblO4eFJV7c9GX_kfR4_Tn0-v3HDLFQIg%3Dw1280","assets/img/2024/jasper-van-der-kolk.jpg"
"2024","speaker","Anastasia Salova","https://lh3.googleusercontent.com/sitesv/AA5AbUDS6L64tAvsIp3pea8FWU8cqeZiU1lPo_ALjqNOqKiQg7F5wbnWdi2MrL7iyOizxRUP60Z0K5kPCH0iM5edEaAf13__BdC3uqIDF8yXvKpxMcl21L8oOW_3QGOCpjTbUEp2Biy9Ag0hWvq97joSP6fXV4DeLnW4kGZEVR_NJXyvsdnub5UjN15V1X7H8PrqW-LqGlbCP-aHM2j-Xr8SrnTBgnJTZ1XWRTZ9%3Dw1280","assets/img/2024/anastasia-salova.jpg"
"2024","speaker","Benjamin Piazza","https://lh3.googleusercontent.com/sitesv/AA5AbUB_lkfccjF4dJAu7QXoE3ByPdsCL28mQB6GfzT1mewVa3kRQ_G5ra6j30Fl39jTMPLHIB5XvRzJfuXi6F8_EMkMoZsblSqqXVgvryu-XTXiFtaYCaNKSKXkcphyc9vNZD0EHAzanWNSzdBSKTuD_G_7yaWU0W2LH90K3ibreBJbdw83v8_6Jw7EgFDBQ8vB7dye31oIlv2DhYnckOkWRD6OhtVLMrzNRizv%3Dw1280","assets/img/2024/benjamin-piazza.jpg"
"2024","speaker","Szabolcs Horvát","https://lh3.googleusercontent.com/sitesv/AA5AbUBpE2K2o97wdcNHj0J1LrH6nB6pqHrKb4rJpR1-A2jyB4W7VjUsxTDY6hgi1p6jRBcaYPtIXg2W2O6GtIOXUxaxp2bSmEouKjvO1oucrQsB8yxsMS4SJvVL5MSCqh1fEPB33cIKO5LYnGxXdD6QDXKVGh0ybYdXWPgYESzr9G4ZeyTHCGEnHsSC6jzMZcsakfe9rNV8fLe1A38fJAE2W0wSurHdF31VC3BDRAw%3Dw1280","assets/img/2024/szabolcs-horv-t.jpg"
"2023","speaker","Albert-László Barabási","https://lh3.googleusercontent.com/sitesv/AA5AbUDYT4cXQAJ1SrNohekYtFFRYw11F10u6wpPASlvoG_uTjCqRdVbYZTxxEp8lk9vP04iXTaF2RdiaP_ZoXPv_oIEQlcrASjldmDpYmOzQg8ddzNrsFQWWIjhuK6CLAI5KHgtMYn5xJBTMVK7K1SkmH1KPPM8JeHsDoXGyt6BEBYZobGYiJqjViqv%3Dw1280","assets/img/2023/albert-l-szl-barab-si.jpg"
"2023","speaker","Maria Ercsey-Ravasz","https://lh3.googleusercontent.com/sitesv/AA5AbUDrRSB2nEjZFMmJxFtiof-i7bU-5mloSz_pya9e5IGRksggA-0TBw13lvj8RyyR0mDX4W3goZXsEiux-ctwzrwXBxbQlZY0ds1D13fshYKDV0rdzN9f6M2cwGAhaDkhxplnhx5ZatglJLHODnreBlKdnSIARfsjo1B_4XFGBDwqqF68QAFM-d0F8I29afRSCQq4a7AjeZzFJtvUjztom4v4lste_hwvdpvy%3Dw1280","assets/img/2023/maria-ercsey-ravasz.jpg"
"2023","speaker","Sang Hoon Lee","https://lh3.googleusercontent.com/sitesv/AA5AbUDpvpsftW1VUMV6ETcOzjSR0BGGWvaaOYP_ZRLfsnq_7UEZRXHRATcSwZ9rjnrXrA6ENMoisPbn_nbTCmj7jr3Eo1-5mI515DHwLPtOGBnl7hNkotb0Hg6Jxwp_H4AztjgLCvQv5bJUW1ne13lcaGHLh_LN4YJeur4id4jJJmVPROUzxPR0GNzNZSJ01y7QLG9owMakK3VHcEGTZxTKBC5vItp3_k2qucsR%3Dw1280","assets/img/2023/sang-hoon-lee.jpg"
"2023","speaker","Ádám Timár","https://lh3.googleusercontent.com/sitesv/AA5AbUAMN0MIcRsDpia9EXK4y7Ty7z3stpuiUEqFZD-f_wlDQjWUmVZ44FL7f5O6lUuWAWknu5VtakxdU-7vk8s8rR2O-gl79esVRHDqQJUY5WfZsbKhTXzPpyjmR4CJTJH_9ghP5edOshamay-dMkhwjcr5C_twtYL9gabP6nHZd2PK-MJroRJchEFBaisdLygFjLa8rkwAe3A_vkBdKEAGYgmOgmHDhgl7lk8y%3Dw1280","assets/img/2023/d-m-tim-r.jpg"
"2023","speaker","Andreas Neophytou","https://lh3.googleusercontent.com/sitesv/AA5AbUAhNw8VwwKfu9Xyl8a-DKuZN53NPZ7or9tycUZFYl3jyqiqwaquusAZZ4_wAD-sn_aHzKughFRIUx3n62yLGkNpoa5VB0oTwAvtRAOlX54uMfqKmTkNO8R21_BOV1A_J3kNLAKS5fnrz0leifVgGbplL1byyNHXqOcADOttAVi0exAmKu6SvBGyZUAd5u4B3YSzLeVVcRjlIZbrc86knJK_zmatHYy4OQqlqrY%3Dw1280","assets/img/2023/andreas-neophytou.jpg"
